Coord_X,Coord_Y,label
-8.154949040097941,1.8863557771905255,Red
-10.785747099789406,1.9290155949533836,Red
-4.791875881267365,6.112915582903797,Red
-3.5760532418752504,0.8060547596787173,Blue
-8.773257704773442,4.538534421433949,Red
-5.314620097237191,-0.08174867978946931,Blue
-5.5427349813767135,4.392444101800176,Red
-7.330381432539472,-3.4364809339395297,Blue
-10.436957623637126,5.084546709012217,Red
-6.2160443856433005,1.792791689533007,Red
-12.027356669106435,2.385205375817408,Red
-3.9081941879792015,1.1894034704336955,Blue
-6.867005705730745,3.001832675203745,Red
-1.9823590120955967,-2.1407704040855933,Blue
-10.59675991836883,0.878547459198201,Red
-12.459998573147926,3.25845859513305,Red
-10.894434411366731,0.7691718376686438,Red
-11.284695819648775,3.245182268849187,Red
-8.34356992167882,3.6174196487235433,Red
-9.564184626279214,6.374959812755749,Red
-8.459219816166707,0.9313770248724842,Red
-5.304838037515547,-1.1974292799720836,Blue
-2.8418095861732167,-0.19957191877072988,Blue
-7.553103947785295,5.447836931699347,Red
-5.488774986810765,3.9633123383896276,Red
-6.110545322249116,4.97478023241881,Red
-12.893212369584436,2.1292244328023617,Red
-1.4512474787486909,-2.234073868880163,Blue
-6.202274120562027,2.7836634331521948,Red
-4.969402584571912,-6.565656236229804,Blue
-4.5178968196908755,-0.799658667092856,Blue
-9.222221689595981,1.9558365474001262,Red
-9.660859979324943,0.50278514676523,Red
-8.312115277312465,4.902663466259907,Red
-3.9992633203315853,2.1317144336801013,Red
-4.334345989153687,-0.23006139340916043,Blue
-4.645845717443406,-2.666056485919673,Blue
-10.678522605241454,0.02890639223269531,Red
-1.6898800097257496,-2.0842097114624076,Blue
-2.539250307111751,-1.4672308703595442,Blue
-5.235223976530976,-2.6586297592009287,Blue
-5.865738827154244,-2.1596546939460666,Blue
-4.997505788199608,-2.5156958832315883,Blue
-8.157808134983624,3.8984803929454817,Red
-7.026117298615249,2.8216033925587896,Red
-6.166892482546071,1.64986648773864,Blue
-7.462007885067614,2.7357928210767706,Red
-7.496715969190485,3.724442637863237,Red
-4.625341429359704,1.789240990796082,Blue
-4.1815106162752675,-2.6292387868837137,Blue
-7.229226295508744,-0.38243600559781576,Blue
-3.8886267173759856,-0.9483434700006326,Blue
-10.814397678978217,2.8882091769693576,Red
-5.654940636549897,-1.9894841013704907,Blue
-8.090340472195935,4.5188052140753925,Red
-7.4647004950303515,3.3713359175258946,Red
-7.729117569077287,-1.3790026551464307,Red
-9.609383748596517,-3.0410231820140656,Blue
-9.063907351789814,1.4894505086862155,Red
-6.188591841552177,1.416897795183488,Red
-12.741990982626149,0.45036991797370907,Red
-9.012451997476862,-0.07302610936209986,Red
-8.60550679597908,4.191916431891882,Red
-10.992699932040766,4.08947072692826,Red
